partner_name,site_name,site_phone,web_addr,address
Jumken International Ltd,JUMKEN INTERNATIONAL LTD,+2348082315570,https://www.jumkenltd.com,"SUITE 04 UM PLAZA, DURUMI DISTRICT 1, AREA 1,, ABUJA, NIGERIA"
Kyma Wave Solutions Ltd,Kyma Wave Solutions Ltd,+2348053879787,,"7 Olabisi Osho st,, Soluyi, Gbagada, Gbagada, NIGERIA"
LAYER3 LTD,LAYER 3,+2347000529373,https://www.layer3.com.ng,"5th Floor, IGI House, 3 Gwani Street, Zone 4, Wuse, 3 Gwani Crescent, Off IBB Way, Abuja, NIGERIA"
LIMITLESS TECHNOLOGIES,LIMITLESS TECHNOLOGIES,+2348037602610,https://www.limitlesstechng.com,"7TH FLOOR, MULINER TOWERS, 39 ALFRED REWANE WAY, IKOYI, LAGOS, NIGERIA"
LIQUID INTELLIGENT TECHNOLOGIES,LIQUID INTELLIGENT TECHNOLOGIES,+2348083045665,https://www.liquid.tech,"6TH FLOOR, LANDMARK TOWER, ONIRU, LEKKI, LAGOS, LEKKI, NIGERIA"
LUMENAVE INTERNATIONAL LIMITED,LUMENAVE INTERNATIONAL LTD,+23412706358,http://www.lumenave.com,"BENDEL CLOSE OFF BISHOP ABOYADE COLE STREET 6B, VICTORIA ISLAND,LAGOS STATE, NIGERIA"
M Technology Solutions Ltd,M-TECH SOLUTIONS,+2348033130640,https://www.mtechng.com,"18A OLU HALLOWAY STREET FORMERLY TEMPLE RD, IKOYI, LAGOS, NIGERIA"
Mainone Cable Company,MAINONE CABLE COMPANY,+23413422000,https://www.mainone.net,"FABAC CENTER, 3B LIGALI AYORINDE ST, VICTORIA ISLAND, NIGERIA"
Malton Technologies Limited,MALTON TECHNOLOGIES LTD,+2349096558417,https://www.maltontech.com,"99 OPEBI ROAD, VALLEY VIEW PLAZA, IKEJA, NIGERIA"
MANIFOLD COMPUTERS LIMITED,MANIFOLD COMPUTERS LTD,+23412120313,https://www.manifoldcomputers.com,"22 AWOYEMI CLOSE OGUNLANA DRIVE, OFF OYEKAN ROAD, SURULERE, NIGERIA"
Meed Networks,MEED NETWORKS,+23492918976,https://www.meednetworks.com,"NO 34 BURUNDI STREET OFF DAMBIA STREET, WUSE ZONE 5, ABUJA, NIGERIA"
MicroAccess Ltd,MICROACCESS LTD,+23494602000,https://www.microaccess.com,"7 DURBAN STREET, OFF ADETOKUNBO ADEMOLA CRESCENT WUSE II, ABUJA, NIGERIA"
